Dato klokke,kWh pris
2022-07-01 00:00:00,"204,5725"
2022-07-01 01:00:00,"201,3288"
2022-07-01 02:00:00,"200,7725"
2022-07-01 03:00:00,"200,4500"
2022-07-01 04:00:00,"198,3550"
2022-07-01 05:00:00,"198,3938"
2022-07-01 06:00:00,"209,3425"
2022-07-01 07:00:00,"232,3000"
2022-07-01 08:00:00,"238,7500"
2022-07-01 09:00:00,"236,7338"
2022-07-01 10:00:00,"235,3375"
2022-07-01 11:00:00,"236,7075"
2022-07-01 12:00:00,"231,5113"
2022-07-01 13:00:00,"232,2875"
2022-07-01 14:00:00,"232,5325"
2022-07-01 15:00:00,"212,7300"
2022-07-01 16:00:00,"231,6925"
2022-07-01 17:00:00,"231,8088"
2022-07-01 18:00:00,"224,7775"
2022-07-01 19:00:00,"218,3400"
2022-07-01 20:00:00,"212,0700"
2022-07-01 21:00:00,"209,1750"
2022-07-01 22:00:00,"205,2575"
2022-07-01 23:00:00,"201,4450"
2022-07-02 00:00:00,"209,7338"
2022-07-02 01:00:00,"207,9438"
2022-07-02 02:00:00,"205,3363"
2022-07-02 03:00:00,"204,6613"
2022-07-02 04:00:00,"204,1950"
2022-07-02 05:00:00,"204,1563"
2022-07-02 06:00:00,"204,5713"
2022-07-02 07:00:00,"205,2713"
2022-07-02 08:00:00,"204,9338"
2022-07-02 09:00:00,"204,7788"
2022-07-02 10:00:00,"196,2425"
2022-07-02 11:00:00,"168,3375"
2022-07-02 12:00:00,"155,6363"
2022-07-02 13:00:00,"156,9988"
2022-07-02 14:00:00,"174,9800"
2022-07-02 15:00:00,"193,1025"
2022-07-02 16:00:00,"204,3238"
2022-07-02 17:00:00,"204,5188"
2022-07-02 18:00:00,"205,4400"
2022-07-02 19:00:00,"204,8688"
2022-07-02 20:00:00,"204,4675"
2022-07-02 21:00:00,"204,2200"
2022-07-02 22:00:00,"204,4288"
2022-07-02 23:00:00,"204,2075"
2022-07-03 00:00:00,"206,4250"
2022-07-03 01:00:00,"202,9475"
2022-07-03 02:00:00,"200,8025"
2022-07-03 03:00:00,"200,0650"
2022-07-03 04:00:00,"199,6000"
2022-07-03 05:00:00,"199,4188"
2022-07-03 06:00:00,"200,2200"
2022-07-03 07:00:00,"200,5175"
2022-07-03 08:00:00,"201,5513"
2022-07-03 09:00:00,"199,7813"
2022-07-03 10:00:00,"186,7788"
2022-07-03 11:00:00,"139,3825"
2022-07-03 12:00:00,"124,1700"
2022-07-03 13:00:00,"91,4438"
2022-07-03 14:00:00,"100,5050"
2022-07-03 15:00:00,"171,2688"
2022-07-03 16:00:00,"205,3900"
2022-07-03 17:00:00,"207,6525"
2022-07-03 18:00:00,"208,3113"
2022-07-03 19:00:00,"208,5700"
2022-07-03 20:00:00,"210,9613"
2022-07-03 21:00:00,"210,5088"
2022-07-03 22:00:00,"208,6213"
2022-07-03 23:00:00,"207,6525"
2022-07-04 00:00:00,"205,7388"
2022-07-04 01:00:00,"204,5500"
2022-07-04 02:00:00,"203,9950"
2022-07-04 03:00:00,"203,8263"
2022-07-04 04:00:00,"203,6838"
2022-07-04 05:00:00,"204,5375"
2022-07-04 06:00:00,"205,9588"
2022-07-04 07:00:00,"205,0413"
2022-07-04 08:00:00,"207,7038"
2022-07-04 09:00:00,"208,7763"
2022-07-04 10:00:00,"209,8238"
2022-07-04 11:00:00,"209,3713"
2022-07-04 12:00:00,"210,5863"
2022-07-04 13:00:00,"210,4963"
2022-07-04 14:00:00,"209,1000"
2022-07-04 15:00:00,"208,1825"
2022-07-04 16:00:00,"204,8350"
2022-07-04 17:00:00,"210,3013"
2022-07-04 18:00:00,"210,4050"
2022-07-04 19:00:00,"208,9063"
2022-07-04 20:00:00,"204,9375"
2022-07-04 21:00:00,"204,2788"
2022-07-04 22:00:00,"202,4300"
2022-07-04 23:00:00,"199,7425"
2022-07-05 00:00:00,"211,9125"
2022-07-05 01:00:00,"211,2038"
2022-07-05 02:00:00,"210,5338"
2022-07-05 03:00:00,"210,1075"
2022-07-05 04:00:00,"209,5925"
2022-07-05 05:00:00,"211,0488"
2022-07-05 06:00:00,"208,5738"
2022-07-05 07:00:00,"188,2225"
2022-07-05 08:00:00,"210,5338"
2022-07-05 09:00:00,"208,2138"
2022-07-05 10:00:00,"211,3963"
2022-07-05 11:00:00,"210,6875"
2022-07-05 12:00:00,"210,3788"
2022-07-05 13:00:00,"210,8688"
2022-07-05 14:00:00,"211,3713"
2022-07-05 15:00:00,"209,0513"
2022-07-05 16:00:00,"209,9913"
2022-07-05 17:00:00,"209,8238"
2022-07-05 18:00:00,"209,0763"
2022-07-05 19:00:00,"211,4613"
2022-07-05 20:00:00,"209,2050"
2022-07-05 21:00:00,"208,7288"
2022-07-05 22:00:00,"206,8213"
2022-07-05 23:00:00,"188,7888"
2022-07-06 00:00:00,"209,7813"
2022-07-06 01:00:00,"185,1838"
2022-07-06 02:00:00,"179,4988"
2022-07-06 03:00:00,"176,9463"
