Dato klokke,kWh pris
2022-09-01 00:00:00,"626,9538"
2022-09-01 01:00:00,"618,7663"
2022-09-01 02:00:00,"618,7425"
2022-09-01 03:00:00,"613,2225"
2022-09-01 04:00:00,"626,2588"
2022-09-01 05:00:00,"710,5463"
2022-09-01 06:00:00,"738,0600"
2022-09-01 07:00:00,"804,3863"
2022-09-01 08:00:00,"799,8700"
2022-09-01 09:00:00,"744,0763"
2022-09-01 10:00:00,"721,2638"
2022-09-01 11:00:00,"668,2475"
2022-09-01 12:00:00,"633,9875"
2022-09-01 13:00:00,"629,2488"
2022-09-01 14:00:00,"654,4538"
2022-09-01 15:00:00,"690,8113"
2022-09-01 16:00:00,"719,5150"
2022-09-01 17:00:00,"768,9713"
2022-09-01 18:00:00,"812,2500"
2022-09-01 19:00:00,"842,1450"
2022-09-01 20:00:00,"822,5950"
2022-09-01 21:00:00,"784,4638"
2022-09-01 22:00:00,"700,8713"
2022-09-01 23:00:00,"633,9000"
2022-09-02 00:00:00,"589,8125"
2022-09-02 01:00:00,"541,5513"
2022-09-02 02:00:00,"511,3125"
2022-09-02 03:00:00,"469,0538"
2022-09-02 04:00:00,"507,6700"
2022-09-02 05:00:00,"560,8288"
2022-09-02 06:00:00,"666,7175"
2022-09-02 07:00:00,"709,6413"
2022-09-02 08:00:00,"730,8388"
2022-09-02 09:00:00,"686,6225"
2022-09-02 10:00:00,"643,4600"
2022-09-02 11:00:00,"535,6375"
2022-09-02 12:00:00,"365,9788"
2022-09-02 13:00:00,"339,0663"
2022-09-02 14:00:00,"341,3900"
2022-09-02 15:00:00,"401,7313"
2022-09-02 16:00:00,"495,8025"
2022-09-02 17:00:00,"614,7525"
2022-09-02 18:00:00,"690,6400"
2022-09-02 19:00:00,"715,9325"
2022-09-02 20:00:00,"681,2725"
2022-09-02 21:00:00,"550,7688"
2022-09-02 22:00:00,"444,8550"
2022-09-02 23:00:00,"272,2325"
2022-09-03 00:00:00,"297,7650"
2022-09-03 01:00:00,"316,8813"
2022-09-03 02:00:00,"339,5063"
2022-09-03 03:00:00,"323,3863"
2022-09-03 04:00:00,"304,3838"
2022-09-03 05:00:00,"377,2988"
2022-09-03 06:00:00,"355,0000"
2022-09-03 07:00:00,"477,7413"
2022-09-03 08:00:00,"516,9250"
2022-09-03 09:00:00,"491,8925"
2022-09-03 10:00:00,"552,6738"
2022-09-03 11:00:00,"567,0763"
2022-09-03 12:00:00,"586,1300"
2022-09-03 13:00:00,"570,5363"
2022-09-03 14:00:00,"574,7725"
2022-09-03 15:00:00,"538,7850"
2022-09-03 16:00:00,"483,9575"
2022-09-03 17:00:00,"518,3538"
2022-09-03 18:00:00,"585,6025"
2022-09-03 19:00:00,"664,3475"
2022-09-03 20:00:00,"641,3963"
2022-09-03 21:00:00,"553,9025"
2022-09-03 22:00:00,"493,7725"
2022-09-03 23:00:00,"413,5875"
2022-09-04 00:00:00,"269,7400"
2022-09-04 01:00:00,"262,6800"
2022-09-04 02:00:00,"256,6263"
2022-09-04 03:00:00,"261,8975"
2022-09-04 04:00:00,"282,3200"
2022-09-04 05:00:00,"285,7138"
2022-09-04 06:00:00,"270,2000"
2022-09-04 07:00:00,"289,8163"
2022-09-04 08:00:00,"268,7713"
2022-09-04 09:00:00,"236,2275"
2022-09-04 10:00:00,"372,8513"
2022-09-04 11:00:00,"250,5225"
2022-09-04 12:00:00,"310,7488"
2022-09-04 13:00:00,"505,9438"
2022-09-04 14:00:00,"505,4838"
2022-09-04 15:00:00,"455,5388"
2022-09-04 16:00:00,"310,6613"
2022-09-04 17:00:00,"512,7550"
2022-09-04 18:00:00,"552,5825"
2022-09-04 19:00:00,"626,3200"
2022-09-04 20:00:00,"625,7488"
2022-09-04 21:00:00,"561,2838"
2022-09-04 22:00:00,"523,5575"
2022-09-04 23:00:00,"430,1050"
2022-09-05 00:00:00,"344,6838"
2022-09-05 01:00:00,"281,6363"
2022-09-05 02:00:00,"271,9775"
2022-09-05 03:00:00,"285,2788"
2022-09-05 04:00:00,"306,3725"
2022-09-05 05:00:00,"470,4925"
2022-09-05 06:00:00,"571,6763"
2022-09-05 07:00:00,"629,6013"
2022-09-05 08:00:00,"646,2963"
2022-09-05 09:00:00,"595,3188"
2022-09-05 10:00:00,"536,5725"
2022-09-05 11:00:00,"482,2763"
2022-09-05 12:00:00,"503,3213"
2022-09-05 13:00:00,"498,4475"
2022-09-05 14:00:00,"364,2738"
2022-09-05 15:00:00,"503,3463"
2022-09-05 16:00:00,"502,4638"
2022-09-05 17:00:00,"605,4250"
2022-09-05 18:00:00,"683,5500"
2022-09-05 19:00:00,"724,6575"
2022-09-05 20:00:00,"630,0000"
2022-09-05 21:00:00,"522,2650"
2022-09-05 22:00:00,"411,7950"
2022-09-05 23:00:00,"288,6100"
2022-09-06 00:00:00,"349,3900"
2022-09-06 01:00:00,"381,8388"
2022-09-06 02:00:00,"352,8888"
2022-09-06 03:00:00,"362,0925"
2022-09-06 04:00:00,"367,0538"
2022-09-06 05:00:00,"491,3400"
2022-09-06 06:00:00,"577,5463"
2022-09-06 07:00:00,"651,2625"
2022-09-06 08:00:00,"675,1763"
2022-09-06 09:00:00,"593,0888"
2022-09-06 10:00:00,"551,7963"
2022-09-06 11:00:00,"389,7775"
2022-09-06 12:00:00,"326,6300"
2022-09-06 13:00:00,"341,8988"
2022-09-06 14:00:00,"358,3088"
2022-09-06 15:00:00,"483,6500"
2022-09-06 16:00:00,"590,2975"
2022-09-06 17:00:00,"602,2425"
2022-09-06 18:00:00,"657,3150"
2022-09-06 19:00:00,"686,8113"
2022-09-06 20:00:00,"676,2813"
2022-09-06 21:00:00,"637,0225"
2022-09-06 22:00:00,"582,7438"
2022-09-06 23:00:00,"566,3700"
2022-09-07 00:00:00,"527,2038"
2022-09-07 01:00:00,"489,1400"
2022-09-07 02:00:00,"467,9688"
2022-09-07 03:00:00,"466,2738"
2022-09-07 04:00:00,"493,7150"
2022-09-07 05:00:00,"502,8288"
2022-09-07 06:00:00,"583,7913"
2022-09-07 07:00:00,"622,9938"
2022-09-07 08:00:00,"628,2363"
2022-09-07 09:00:00,"618,3688"
2022-09-07 10:00:00,"581,1450"
2022-09-07 11:00:00,"556,9563"
2022-09-07 12:00:00,"501,5188"
2022-09-07 13:00:00,"497,1900"
2022-09-07 14:00:00,"506,2050"
2022-09-07 15:00:00,"510,4463"
2022-09-07 16:00:00,"583,5938"
2022-09-07 17:00:00,"624,3663"
2022-09-07 18:00:00,"650,8800"
2022-09-07 19:00:00,"680,1625"
2022-09-07 20:00:00,"655,3313"
2022-09-07 21:00:00,"627,7050"
2022-09-07 22:00:00,"605,6550"
2022-09-07 23:00:00,"542,6488"
2022-09-08 00:00:00,"548,8013"
2022-09-08 01:00:00,"506,3200"
2022-09-08 02:00:00,"497,0688"
2022-09-08 03:00:00,"474,2575"
2022-09-08 04:00:00,"470,9175"
