Dato klokke,kWh pris
2022-01-01 00:00:00,"165,9550"
2022-01-01 01:00:00,"161,4713"
2022-01-01 02:00:00,"164,9438"
2022-01-01 03:00:00,"139,1675"
2022-01-01 04:00:00,"140,3038"
2022-01-01 05:00:00,"142,2400"
2022-01-01 06:00:00,"152,6675"
2022-01-01 07:00:00,"148,0838"
2022-01-01 08:00:00,"147,9463"
2022-01-01 09:00:00,"147,1850"
2022-01-01 10:00:00,"149,8950"
2022-01-01 11:00:00,"146,1988"
2022-01-01 12:00:00,"146,3238"
2022-01-01 13:00:00,"149,9575"
2022-01-01 14:00:00,"155,5275"
2022-01-01 15:00:00,"155,9638"
2022-01-01 16:00:00,"169,3263"
2022-01-01 17:00:00,"187,2850"
2022-01-01 18:00:00,"188,2088"
2022-01-01 19:00:00,"179,5913"
2022-01-01 20:00:00,"175,2838"
2022-01-01 21:00:00,"174,6463"
2022-01-01 22:00:00,"168,6900"
2022-01-01 23:00:00,"154,1288"
2022-01-02 00:00:00,"141,8938"
2022-01-02 01:00:00,"139,5188"
2022-01-02 02:00:00,"133,1088"
2022-01-02 03:00:00,"130,5725"
2022-01-02 04:00:00,"130,0225"
2022-01-02 05:00:00,"132,2725"
2022-01-02 06:00:00,"139,9063"
2022-01-02 07:00:00,"131,4725"
2022-01-02 08:00:00,"139,3563"
2022-01-02 09:00:00,"144,7050"
2022-01-02 10:00:00,"152,3638"
2022-01-02 11:00:00,"151,5638"
2022-01-02 12:00:00,"140,4813"
2022-01-02 13:00:00,"139,1813"
2022-01-02 14:00:00,"139,2938"
2022-01-02 15:00:00,"147,6788"
2022-01-02 16:00:00,"152,8138"
2022-01-02 17:00:00,"162,1725"
2022-01-02 18:00:00,"169,8950"
2022-01-02 19:00:00,"160,3488"
2022-01-02 20:00:00,"145,3413"
2022-01-02 21:00:00,"137,6950"
2022-01-02 22:00:00,"130,9600"
2022-01-02 23:00:00,"137,6450"
2022-01-03 00:00:00,"156,1750"
2022-01-03 01:00:00,"154,2013"
2022-01-03 02:00:00,"153,3513"
2022-01-03 03:00:00,"151,8763"
2022-01-03 04:00:00,"152,7013"
2022-01-03 05:00:00,"154,4013"
2022-01-03 06:00:00,"150,7900"
2022-01-03 07:00:00,"151,1900"
2022-01-03 08:00:00,"158,1863"
2022-01-03 09:00:00,"165,6338"
2022-01-03 10:00:00,"153,6513"
2022-01-03 11:00:00,"153,8513"
2022-01-03 12:00:00,"154,9000"
2022-01-03 13:00:00,"158,2738"
2022-01-03 14:00:00,"167,1213"
2022-01-03 15:00:00,"172,0813"
2022-01-03 16:00:00,"171,7813"
2022-01-03 17:00:00,"179,5913"
2022-01-03 18:00:00,"181,3400"
2022-01-03 19:00:00,"178,4413"
2022-01-03 20:00:00,"177,7038"
2022-01-03 21:00:00,"174,4300"
2022-01-03 22:00:00,"163,4225"
2022-01-03 23:00:00,"141,9938"
2022-01-04 00:00:00,"164,7625"
2022-01-04 01:00:00,"164,9625"
2022-01-04 02:00:00,"160,8250"
2022-01-04 03:00:00,"144,4750"
2022-01-04 04:00:00,"141,8375"
2022-01-04 05:00:00,"166,4500"
2022-01-04 06:00:00,"179,4375"
2022-01-04 07:00:00,"193,8125"
2022-01-04 08:00:00,"210,0125"
2022-01-04 09:00:00,"208,4750"
2022-01-04 10:00:00,"209,2750"
2022-01-04 11:00:00,"205,9250"
2022-01-04 12:00:00,"200,1250"
2022-01-04 13:00:00,"194,7625"
2022-01-04 14:00:00,"194,1000"
2022-01-04 15:00:00,"198,2125"
2022-01-04 16:00:00,"201,8375"
2022-01-04 17:00:00,"209,8625"
2022-01-04 18:00:00,"205,7250"
2022-01-04 19:00:00,"192,5000"
2022-01-04 20:00:00,"183,6500"
2022-01-04 21:00:00,"177,1000"
2022-01-04 22:00:00,"171,6500"
2022-01-04 23:00:00,"142,9250"
2022-01-05 00:00:00,"166,6375"
2022-01-05 01:00:00,"154,4250"
2022-01-05 02:00:00,"139,7375"
2022-01-05 03:00:00,"129,3750"
2022-01-05 04:00:00,"132,4875"
2022-01-05 05:00:00,"152,3000"
2022-01-05 06:00:00,"173,1375"
2022-01-05 07:00:00,"173,6625"
2022-01-05 08:00:00,"173,7125"
2022-01-05 09:00:00,"174,1625"
2022-01-05 10:00:00,"174,0750"
2022-01-05 11:00:00,"172,8125"
2022-01-05 12:00:00,"171,3750"
2022-01-05 13:00:00,"171,3000"
2022-01-05 14:00:00,"170,9750"
2022-01-05 15:00:00,"171,5250"
