Dato klokke,kWh pris
2022-02-01 00:00:00,"176,3188"
2022-02-01 01:00:00,"174,1150"
2022-02-01 02:00:00,"169,7550"
2022-02-01 03:00:00,"168,7900"
2022-02-01 04:00:00,"172,2975"
2022-02-01 05:00:00,"179,6888"
2022-02-01 06:00:00,"182,4825"
2022-02-01 07:00:00,"275,5338"
2022-02-01 08:00:00,"295,8525"
2022-02-01 09:00:00,"214,7275"
2022-02-01 10:00:00,"184,9750"
2022-02-01 11:00:00,"181,9188"
2022-02-01 12:00:00,"178,5363"
2022-02-01 13:00:00,"173,7513"
2022-02-01 14:00:00,"168,0138"
2022-02-01 15:00:00,"164,6438"
2022-02-01 16:00:00,"163,2163"
2022-02-01 17:00:00,"164,6688"
2022-02-01 18:00:00,"166,7988"
2022-02-01 19:00:00,"158,4425"
2022-02-01 20:00:00,"155,1238"
2022-02-01 21:00:00,"155,2863"
2022-02-01 22:00:00,"150,8888"
2022-02-01 23:00:00,"147,2688"
2022-02-02 00:00:00,"139,7675"
2022-02-02 01:00:00,"138,1238"
2022-02-02 02:00:00,"130,6200"
2022-02-02 03:00:00,"130,8063"
2022-02-02 04:00:00,"138,9575"
2022-02-02 05:00:00,"145,8400"
2022-02-02 06:00:00,"156,4800"
2022-02-02 07:00:00,"170,3938"
2022-02-02 08:00:00,"175,8313"
2022-02-02 09:00:00,"174,4750"
2022-02-02 10:00:00,"172,8575"
2022-02-02 11:00:00,"173,5788"
2022-02-02 12:00:00,"170,5925"
2022-02-02 13:00:00,"172,8825"
2022-02-02 14:00:00,"176,7525"
2022-02-02 15:00:00,"179,4038"
2022-02-02 16:00:00,"182,4275"
2022-02-02 17:00:00,"185,9988"
2022-02-02 18:00:00,"186,1113"
2022-02-02 19:00:00,"186,8575"
2022-02-02 20:00:00,"187,2813"
2022-02-02 21:00:00,"196,7388"
2022-02-02 22:00:00,"192,8438"
2022-02-02 23:00:00,"177,4250"
2022-02-03 00:00:00,"170,1363"
2022-02-03 01:00:00,"168,7325"
2022-02-03 02:00:00,"167,3550"
2022-02-03 03:00:00,"167,4663"
2022-02-03 04:00:00,"170,0863"
2022-02-03 05:00:00,"171,8125"
2022-02-03 06:00:00,"177,2638"
2022-02-03 07:00:00,"204,5550"
2022-02-03 08:00:00,"258,4325"
2022-02-03 09:00:00,"201,4888"
2022-02-03 10:00:00,"188,7363"
2022-02-03 11:00:00,"189,8038"
2022-02-03 12:00:00,"188,1275"
2022-02-03 13:00:00,"187,7063"
2022-02-03 14:00:00,"189,7788"
2022-02-03 15:00:00,"189,1463"
2022-02-03 16:00:00,"194,2863"
2022-02-03 17:00:00,"191,1950"
2022-02-03 18:00:00,"183,1863"
2022-02-03 19:00:00,"177,0400"
2022-02-03 20:00:00,"171,8250"
2022-02-03 21:00:00,"168,0250"
2022-02-03 22:00:00,"165,0450"
2022-02-03 23:00:00,"157,5950"
2022-02-04 00:00:00,"155,7263"
2022-02-04 01:00:00,"152,0875"
2022-02-04 02:00:00,"149,2100"
2022-02-04 03:00:00,"147,8888"
2022-02-04 04:00:00,"147,3288"
2022-02-04 05:00:00,"146,0075"
2022-02-04 06:00:00,"153,3713"
2022-02-04 07:00:00,"160,1738"
2022-02-04 08:00:00,"161,5825"
2022-02-04 09:00:00,"160,9713"
2022-02-04 10:00:00,"160,6475"
2022-02-04 11:00:00,"160,8963"
2022-02-04 12:00:00,"158,2050"
2022-02-04 13:00:00,"155,0288"
2022-02-04 14:00:00,"151,0163"
2022-02-04 15:00:00,"151,4775"
2022-02-04 16:00:00,"156,1625"
2022-02-04 17:00:00,"161,0713"
2022-02-04 18:00:00,"161,0713"
2022-02-04 19:00:00,"156,2125"
2022-02-04 20:00:00,"152,6363"
2022-02-04 21:00:00,"146,3200"
2022-02-04 22:00:00,"144,6500"
2022-02-04 23:00:00,"141,1363"
2022-02-05 00:00:00,"142,2525"
2022-02-05 01:00:00,"139,7938"
2022-02-05 02:00:00,"137,9113"
2022-02-05 03:00:00,"137,6738"
2022-02-05 04:00:00,"139,2288"
2022-02-05 05:00:00,"141,5250"
2022-02-05 06:00:00,"146,6313"
2022-02-05 07:00:00,"148,3363"
2022-02-05 08:00:00,"150,0175"
2022-02-05 09:00:00,"154,9613"
2022-02-05 10:00:00,"152,7275"
2022-02-05 11:00:00,"148,0363"
2022-02-05 12:00:00,"143,5825"
2022-02-05 13:00:00,"140,0188"
2022-02-05 14:00:00,"137,9613"
2022-02-05 15:00:00,"143,8450"
2022-02-05 16:00:00,"150,7075"
2022-02-05 17:00:00,"156,3788"
2022-02-05 18:00:00,"156,6413"
2022-02-05 19:00:00,"152,3013"
2022-02-05 20:00:00,"146,4050"
2022-02-05 21:00:00,"140,8975"
2022-02-05 22:00:00,"140,4713"
2022-02-05 23:00:00,"136,1050"
2022-02-06 00:00:00,"140,1813"
2022-02-06 01:00:00,"135,6688"
2022-02-06 02:00:00,"123,5263"
2022-02-06 03:00:00,"116,7888"
2022-02-06 04:00:00,"95,0550"
2022-02-06 05:00:00,"107,3238"
2022-02-06 06:00:00,"125,0350"
2022-02-06 07:00:00,"131,2950"
2022-02-06 08:00:00,"135,9575"
2022-02-06 09:00:00,"145,1213"
2022-02-06 10:00:00,"149,8863"
2022-02-06 11:00:00,"150,3763"
2022-02-06 12:00:00,"149,0813"
2022-02-06 13:00:00,"148,9675"
2022-02-06 14:00:00,"150,9663"
2022-02-06 15:00:00,"151,2688"
2022-02-06 16:00:00,"153,2163"
2022-02-06 17:00:00,"154,0963"
2022-02-06 18:00:00,"159,2125"
2022-02-06 19:00:00,"153,9838"
2022-02-06 20:00:00,"152,9400"
2022-02-06 21:00:00,"147,7113"
2022-02-06 22:00:00,"145,8888"
2022-02-06 23:00:00,"141,4138"
2022-02-07 00:00:00,"140,3950"
2022-02-07 01:00:00,"138,2713"
2022-02-07 02:00:00,"138,1450"
2022-02-07 03:00:00,"138,0075"
2022-02-07 04:00:00,"138,2338"
2022-02-07 05:00:00,"141,9538"
