Dato klokke,kWh pris
2021-12-01 00:00:00,"163,6513"
2021-12-01 01:00:00,"141,0425"
2021-12-01 02:00:00,"129,3913"
2021-12-01 03:00:00,"124,7350"
2021-12-01 04:00:00,"124,6713"
2021-12-01 05:00:00,"142,8950"
2021-12-01 06:00:00,"153,7100"
2021-12-01 07:00:00,"160,6813"
2021-12-01 08:00:00,"164,6938"
2021-12-01 09:00:00,"163,5738"
2021-12-01 10:00:00,"162,1338"
2021-12-01 11:00:00,"155,3825"
2021-12-01 12:00:00,"153,4913"
2021-12-01 13:00:00,"153,6463"
2021-12-01 14:00:00,"154,0963"
2021-12-01 15:00:00,"154,2763"
2021-12-01 16:00:00,"156,7450"
2021-12-01 17:00:00,"156,5525"
2021-12-01 18:00:00,"155,3688"
2021-12-01 19:00:00,"153,7225"
2021-12-01 20:00:00,"155,5238"
2021-12-01 21:00:00,"156,5400"
2021-12-01 22:00:00,"153,7613"
2021-12-01 23:00:00,"149,1450"
2021-12-02 00:00:00,"148,4475"
2021-12-02 01:00:00,"143,5363"
2021-12-02 02:00:00,"135,1463"
2021-12-02 03:00:00,"136,8975"
2021-12-02 04:00:00,"139,4950"
2021-12-02 05:00:00,"143,5875"
2021-12-02 06:00:00,"168,9000"
2021-12-02 07:00:00,"189,8125"
2021-12-02 08:00:00,"248,5088"
2021-12-02 09:00:00,"248,5863"
2021-12-02 10:00:00,"243,2775"
2021-12-02 11:00:00,"275,8550"
2021-12-02 12:00:00,"269,3200"
2021-12-02 13:00:00,"280,2813"
2021-12-02 14:00:00,"311,8863"
2021-12-02 15:00:00,"369,6613"
2021-12-02 16:00:00,"397,3663"
2021-12-02 17:00:00,"430,2900"
2021-12-02 18:00:00,"370,7875"
2021-12-02 19:00:00,"271,1488"
2021-12-02 20:00:00,"207,8988"
2021-12-02 21:00:00,"199,7125"
2021-12-02 22:00:00,"177,0738"
2021-12-02 23:00:00,"162,5563"
2021-12-03 00:00:00,"181,5325"
2021-12-03 01:00:00,"165,2750"
2021-12-03 02:00:00,"156,4588"
2021-12-03 03:00:00,"147,7450"
2021-12-03 04:00:00,"152,5513"
2021-12-03 05:00:00,"168,0125"
2021-12-03 06:00:00,"210,6425"
2021-12-03 07:00:00,"289,3600"
2021-12-03 08:00:00,"319,9738"
2021-12-03 09:00:00,"270,8913"
2021-12-03 10:00:00,"225,1263"
2021-12-03 11:00:00,"199,5638"
2021-12-03 12:00:00,"174,7213"
2021-12-03 13:00:00,"175,3513"
2021-12-03 14:00:00,"174,0400"
2021-12-03 15:00:00,"178,9875"
2021-12-03 16:00:00,"198,8438"
2021-12-03 17:00:00,"202,1725"
2021-12-03 18:00:00,"177,6775"
2021-12-03 19:00:00,"167,4600"
2021-12-03 20:00:00,"151,7163"
2021-12-03 21:00:00,"154,7875"
2021-12-03 22:00:00,"155,0188"
2021-12-03 23:00:00,"144,1975"
2021-12-04 00:00:00,"151,4800"
2021-12-04 01:00:00,"153,2050"
2021-12-04 02:00:00,"157,6838"
2021-12-04 03:00:00,"162,1363"
2021-12-04 04:00:00,"165,1613"
2021-12-04 05:00:00,"166,0100"
2021-12-04 06:00:00,"167,2075"
2021-12-04 07:00:00,"165,1225"
2021-12-04 08:00:00,"171,3900"
2021-12-04 09:00:00,"172,9863"
2021-12-04 10:00:00,"187,2463"
2021-12-04 11:00:00,"192,5738"
2021-12-04 12:00:00,"188,7638"
2021-12-04 13:00:00,"174,9938"
2021-12-04 14:00:00,"174,5175"
2021-12-04 15:00:00,"175,0325"
2021-12-04 16:00:00,"180,0638"
2021-12-04 17:00:00,"182,0725"
2021-12-04 18:00:00,"184,4663"
2021-12-04 19:00:00,"181,5313"
2021-12-04 20:00:00,"171,4413"
2021-12-04 21:00:00,"166,7563"
2021-12-04 22:00:00,"161,7888"
2021-12-04 23:00:00,"150,5663"
2021-12-05 00:00:00,"143,6188"
2021-12-05 01:00:00,"137,5163"
2021-12-05 02:00:00,"137,3350"
2021-12-05 03:00:00,"137,1163"
2021-12-05 04:00:00,"137,7750"
2021-12-05 05:00:00,"141,1363"
2021-12-05 06:00:00,"140,0500"
2021-12-05 07:00:00,"137,7363"
2021-12-05 08:00:00,"140,5163"
2021-12-05 09:00:00,"153,2238"
2021-12-05 10:00:00,"166,0613"
2021-12-05 11:00:00,"166,2563"
2021-12-05 12:00:00,"167,4838"
2021-12-05 13:00:00,"167,5350"
2021-12-05 14:00:00,"168,9188"
2021-12-05 15:00:00,"173,0688"
2021-12-05 16:00:00,"186,8625"
2021-12-05 17:00:00,"218,5500"
2021-12-05 18:00:00,"210,2888"
2021-12-05 19:00:00,"207,6000"
2021-12-05 20:00:00,"196,5725"
2021-12-05 21:00:00,"186,7075"
2021-12-05 22:00:00,"173,1975"
2021-12-05 23:00:00,"167,5350"
2021-12-06 00:00:00,"166,8500"
2021-12-06 01:00:00,"164,0713"
2021-12-06 02:00:00,"162,7913"
2021-12-06 03:00:00,"167,3938"
2021-12-06 04:00:00,"176,6238"
2021-12-06 05:00:00,"211,4650"
2021-12-06 06:00:00,"184,2263"
2021-12-06 07:00:00,"243,1388"
2021-12-06 08:00:00,"248,0000"
2021-12-06 09:00:00,"455,1213"
2021-12-06 10:00:00,"301,3675"
2021-12-06 11:00:00,"201,6400"
2021-12-06 12:00:00,"192,3188"
2021-12-06 13:00:00,"188,7638"
2021-12-06 14:00:00,"194,5038"
2021-12-06 15:00:00,"197,7100"
2021-12-06 16:00:00,"293,8438"
2021-12-06 17:00:00,"243,1388"
2021-12-06 18:00:00,"255,9775"
2021-12-06 19:00:00,"188,1038"
2021-12-06 20:00:00,"183,5800"
2021-12-06 21:00:00,"191,8788"
2021-12-06 22:00:00,"174,1813"
2021-12-06 23:00:00,"163,3463"
2021-12-07 00:00:00,"162,7175"
2021-12-07 01:00:00,"154,6713"
2021-12-07 02:00:00,"148,1588"
2021-12-07 03:00:00,"147,7850"
2021-12-07 04:00:00,"163,6838"
2021-12-07 05:00:00,"167,0375"
2021-12-07 06:00:00,"178,3200"
2021-12-07 07:00:00,"239,1438"
2021-12-07 08:00:00,"344,3900"
2021-12-07 09:00:00,"349,2763"
2021-12-07 10:00:00,"341,9913"
2021-12-07 11:00:00,"273,3538"
2021-12-07 12:00:00,"243,3475"
2021-12-07 13:00:00,"237,0288"
2021-12-07 14:00:00,"247,9125"
2021-12-07 15:00:00,"237,2350"
2021-12-07 16:00:00,"227,2288"
2021-12-07 17:00:00,"330,2825"
2021-12-07 18:00:00,"235,5200"
2021-12-07 19:00:00,"191,9625"
2021-12-07 20:00:00,"184,8063"
2021-12-07 21:00:00,"180,1250"
2021-12-07 22:00:00,"157,9975"
2021-12-07 23:00:00,"142,4475"
2021-12-08 00:00:00,"143,0163"
2021-12-08 01:00:00,"136,4563"
2021-12-08 02:00:00,"137,1450"
2021-12-08 03:00:00,"136,5338"
2021-12-08 04:00:00,"133,6925"
2021-12-08 05:00:00,"140,2275"
2021-12-08 06:00:00,"149,6150"
2021-12-08 07:00:00,"171,8413"
2021-12-08 08:00:00,"174,9363"
2021-12-08 09:00:00,"174,9238"
2021-12-08 10:00:00,"176,0325"
2021-12-08 11:00:00,"176,4013"
2021-12-08 12:00:00,"178,3000"
2021-12-08 13:00:00,"181,2425"
2021-12-08 14:00:00,"182,9363"
2021-12-08 15:00:00,"185,7000"
2021-12-08 16:00:00,"189,5725"
2021-12-08 17:00:00,"192,7950"
2021-12-08 18:00:00,"181,6750"
2021-12-08 19:00:00,"176,5038"
2021-12-08 20:00:00,"173,4338"
2021-12-08 21:00:00,"172,1350"
2021-12-08 22:00:00,"166,0713"
2021-12-08 23:00:00,"157,9700"
2021-12-09 00:00:00,"147,9275"
2021-12-09 01:00:00,"144,7300"
2021-12-09 02:00:00,"144,1225"
2021-12-09 03:00:00,"144,7925"
2021-12-09 04:00:00,"146,2463"
2021-12-09 05:00:00,"158,3700"
2021-12-09 06:00:00,"171,7438"
2021-12-09 07:00:00,"172,6413"
2021-12-09 08:00:00,"173,9313"
2021-12-09 09:00:00,"173,4763"
2021-12-09 10:00:00,"173,8425"
2021-12-09 11:00:00,"172,9450"
