Dato klokke,kWh pris
2021-05-01 00:00:00,"65,4875"
2021-05-01 01:00:00,"63,1125"
2021-05-01 02:00:00,"62,8500"
2021-05-01 03:00:00,"62,7750"
2021-05-01 04:00:00,"63,1750"
2021-05-01 05:00:00,"63,0375"
2021-05-01 06:00:00,"63,1375"
2021-05-01 07:00:00,"63,2750"
2021-05-01 08:00:00,"64,0625"
2021-05-01 09:00:00,"66,5000"
2021-05-01 10:00:00,"65,8000"
2021-05-01 11:00:00,"64,2375"
2021-05-01 12:00:00,"63,9125"
2021-05-01 13:00:00,"61,4000"
2021-05-01 14:00:00,"58,2875"
2021-05-01 15:00:00,"56,9625"
2021-05-01 16:00:00,"58,9250"
2021-05-01 17:00:00,"60,7125"
2021-05-01 18:00:00,"63,5000"
2021-05-01 19:00:00,"64,4750"
2021-05-01 20:00:00,"66,2125"
2021-05-01 21:00:00,"68,0375"
2021-05-01 22:00:00,"68,8750"
2021-05-01 23:00:00,"63,4375"
2021-05-02 00:00:00,"67,1000"
2021-05-02 01:00:00,"63,2875"
2021-05-02 02:00:00,"61,3000"
2021-05-02 03:00:00,"59,5625"
2021-05-02 04:00:00,"59,9250"
2021-05-02 05:00:00,"59,7625"
2021-05-02 06:00:00,"58,8625"
2021-05-02 07:00:00,"60,0000"
2021-05-02 08:00:00,"61,6625"
2021-05-02 09:00:00,"59,9875"
2021-05-02 10:00:00,"58,6625"
2021-05-02 11:00:00,"58,2750"
2021-05-02 12:00:00,"55,9500"
2021-05-02 13:00:00,"44,9750"
2021-05-02 14:00:00,"42,7250"
2021-05-02 15:00:00,"42,0125"
2021-05-02 16:00:00,"45,5375"
2021-05-02 17:00:00,"52,7500"
2021-05-02 18:00:00,"58,2000"
2021-05-02 19:00:00,"63,3000"
2021-05-02 20:00:00,"64,5125"
2021-05-02 21:00:00,"67,5500"
2021-05-02 22:00:00,"69,4125"
2021-05-02 23:00:00,"64,2500"
2021-05-03 00:00:00,"65,8500"
2021-05-03 01:00:00,"63,7875"
2021-05-03 02:00:00,"62,4875"
2021-05-03 03:00:00,"62,7500"
2021-05-03 04:00:00,"62,6750"
2021-05-03 05:00:00,"68,6500"
2021-05-03 06:00:00,"84,7500"
2021-05-03 07:00:00,"104,9750"
2021-05-03 08:00:00,"106,8125"
2021-05-03 09:00:00,"81,7500"
2021-05-03 10:00:00,"73,9125"
2021-05-03 11:00:00,"69,2500"
2021-05-03 12:00:00,"65,0500"
2021-05-03 13:00:00,"62,5125"
2021-05-03 14:00:00,"63,5875"
2021-05-03 15:00:00,"62,6625"
2021-05-03 16:00:00,"62,4000"
2021-05-03 17:00:00,"68,6125"
2021-05-03 18:00:00,"78,1000"
2021-05-03 19:00:00,"99,6875"
2021-05-03 20:00:00,"99,7250"
2021-05-03 21:00:00,"95,0625"
2021-05-03 22:00:00,"83,1375"
2021-05-03 23:00:00,"64,2000"
2021-05-04 00:00:00,"62,6000"
2021-05-04 01:00:00,"58,9250"
2021-05-04 02:00:00,"57,0375"
2021-05-04 03:00:00,"55,6625"
2021-05-04 04:00:00,"51,7125"
2021-05-04 05:00:00,"50,6750"
2021-05-04 06:00:00,"55,8875"
2021-05-04 07:00:00,"62,9000"
2021-05-04 08:00:00,"63,2375"
2021-05-04 09:00:00,"59,9875"
2021-05-04 10:00:00,"57,8625"
2021-05-04 11:00:00,"55,7500"
2021-05-04 12:00:00,"54,0375"
2021-05-04 13:00:00,"52,4750"
2021-05-04 14:00:00,"52,4000"
2021-05-04 15:00:00,"51,9375"
2021-05-04 16:00:00,"51,7125"
2021-05-04 17:00:00,"51,6500"
2021-05-04 18:00:00,"56,5625"
2021-05-04 19:00:00,"59,0000"
2021-05-04 20:00:00,"60,8625"
2021-05-04 21:00:00,"60,6000"
2021-05-04 22:00:00,"58,9750"
2021-05-04 23:00:00,"56,7625"
2021-05-05 00:00:00,"53,4500"
2021-05-05 01:00:00,"49,7250"
2021-05-05 02:00:00,"49,8500"
2021-05-05 03:00:00,"50,0625"
2021-05-05 04:00:00,"52,4500"
2021-05-05 05:00:00,"58,1500"
2021-05-05 06:00:00,"62,7750"
2021-05-05 07:00:00,"76,3375"
2021-05-05 08:00:00,"79,3000"
2021-05-05 09:00:00,"63,6750"
2021-05-05 10:00:00,"59,2250"
2021-05-05 11:00:00,"56,3250"
2021-05-05 12:00:00,"56,1625"
2021-05-05 13:00:00,"56,1875"
2021-05-05 14:00:00,"56,4000"
2021-05-05 15:00:00,"56,2625"
2021-05-05 16:00:00,"56,3000"
2021-05-05 17:00:00,"58,3250"
2021-05-05 18:00:00,"62,1000"
2021-05-05 19:00:00,"70,9375"
2021-05-05 20:00:00,"71,8250"
2021-05-05 21:00:00,"71,2750"
2021-05-05 22:00:00,"67,6500"
2021-05-05 23:00:00,"64,3875"
2021-05-06 00:00:00,"63,5125"
2021-05-06 01:00:00,"62,8750"
2021-05-06 02:00:00,"62,4250"
2021-05-06 03:00:00,"64,4375"
2021-05-06 04:00:00,"66,2375"
2021-05-06 05:00:00,"69,4000"
2021-05-06 06:00:00,"74,9375"
2021-05-06 07:00:00,"88,1750"
2021-05-06 08:00:00,"83,4375"
2021-05-06 09:00:00,"68,4250"
2021-05-06 10:00:00,"68,5125"
2021-05-06 11:00:00,"68,7000"
2021-05-06 12:00:00,"74,7500"
2021-05-06 13:00:00,"73,6000"
2021-05-06 14:00:00,"72,5125"
2021-05-06 15:00:00,"76,1250"
2021-05-06 16:00:00,"78,4250"
2021-05-06 17:00:00,"87,5375"
2021-05-06 18:00:00,"95,6375"
2021-05-06 19:00:00,"106,3375"
2021-05-06 20:00:00,"99,6625"
2021-05-06 21:00:00,"99,4875"
2021-05-06 22:00:00,"95,9250"
2021-05-06 23:00:00,"78,1250"
2021-05-07 00:00:00,"74,6500"
2021-05-07 01:00:00,"72,5625"
2021-05-07 02:00:00,"71,9750"
2021-05-07 03:00:00,"71,9625"
2021-05-07 04:00:00,"72,8125"
2021-05-07 05:00:00,"83,8750"
2021-05-07 06:00:00,"97,4625"
2021-05-07 07:00:00,"110,9500"
2021-05-07 08:00:00,"123,6625"
2021-05-07 09:00:00,"102,5375"
2021-05-07 10:00:00,"95,9500"
2021-05-07 11:00:00,"93,7875"
2021-05-07 12:00:00,"82,3000"
2021-05-07 13:00:00,"74,9625"
2021-05-07 14:00:00,"67,5500"
2021-05-07 15:00:00,"65,5250"
2021-05-07 16:00:00,"66,5750"
2021-05-07 17:00:00,"69,5500"
2021-05-07 18:00:00,"74,4250"
2021-05-07 19:00:00,"89,2500"
2021-05-07 20:00:00,"74,8125"
2021-05-07 21:00:00,"73,1625"
2021-05-07 22:00:00,"72,7625"
2021-05-07 23:00:00,"67,5750"
2021-05-08 00:00:00,"69,9125"
2021-05-08 01:00:00,"69,9000"
2021-05-08 02:00:00,"71,3750"
2021-05-08 03:00:00,"74,7500"
2021-05-08 04:00:00,"74,7500"
